layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301001,1267433,,all,01001,State Senate District 1,,,state senate district,2019,USA,US,,,USLEG101,,,,2,3033,"[-87.3349,34.8517]","[-87.9866,34.6973,-86.5688,35.0059]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301002,1464041,,all,01002,State Senate District 2,,,state senate district,2019,USA,US,,,USLEG101,,,,2,711,"[-86.778,34.7931]","[-86.9376,34.6402,-86.6055,34.9456]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301003,1726185,,all,01003,State Senate District 3,,,state senate district,2019,USA,US,,,USLEG101,,,,2,2664,"[-86.8291,34.5449]","[-87.1302,34.3047,-86.5498,34.7846]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301004,1005289,,all,01004,State Senate District 4,,,state senate district,2019,USA,US,,,USLEG101,,,,2,6100,"[-87.178,34.2733]","[-88.0333,33.858,-86.4511,34.6868]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301005,2119401,,all,01005,State Senate District 5,,,state senate district,2019,USA,US,,,USLEG101,,,,2,8453,"[-87.4712,33.7339]","[-87.9521,33.2535,-86.9327,34.2117]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301006,284393,,all,01006,State Senate District 6,,,state senate district,2019,USA,US,,,USLEG101,,,,2,6296,"[-87.8432,34.4632]","[-88.2072,33.9147,-87.1051,35.008]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301007,677609,,all,01007,State Senate District 7,,,state senate district,2019,USA,US,,,USLEG101,,,,2,624,"[-86.5124,34.8095]","[-86.651,34.627,-86.4077,34.9917]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301008,1922793,,all,01008,State Senate District 8,,,state senate district,2019,USA,US,,,USLEG101,,,,2,5950,"[-85.934,34.6161]","[-86.5896,34.2388,-85.5136,34.9917]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301009,743145,,all,01009,State Senate District 9,,,state senate district,2019,USA,US,,,USLEG101,,,,2,3317,"[-86.244,34.3343]","[-86.7046,34.0354,-85.872,34.6323]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301010,1857257,,all,01010,State Senate District 10,,,state senate district,2019,USA,US,,,USLEG101,,,,2,3851,"[-85.8072,34.1845]","[-86.3702,33.8416,-85.3988,34.5263]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301011,1529577,,all,01011,State Senate District 11,,,state senate district,2019,USA,US,,,USLEG101,,,,2,3121,"[-86.3367,33.4412]","[-86.8166,33.0187,-86.0116,33.8617]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301012,1136361,,all,01012,State Senate District 12,,,state senate district,2019,USA,US,,,USLEG101,,,,2,2534,"[-85.9103,33.6317]","[-86.2055,33.2942,-85.5294,33.9685]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301013,1332969,,all,01013,State Senate District 13,,,state senate district,2019,USA,US,,,USLEG101,,,,2,8088,"[-85.6871,33.221]","[-86.1744,32.4703,-85.001,33.9642]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301014,546537,,all,01014,State Senate District 14,,,state senate district,2019,USA,US,,,USLEG101,,,,2,3674,"[-87.0223,33.0721]","[-87.422,32.7764,-86.4657,33.3643]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301015,2053865,,all,01015,State Senate District 15,,,state senate district,2019,USA,US,,,USLEG101,,,,2,1844,"[-86.5325,33.405]","[-86.8126,33.1884,-86.0703,33.6212]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301016,2316009,,all,01016,State Senate District 16,,,state senate district,2019,USA,US,,,USLEG101,,,,2,242,"[-86.784,33.3979]","[-86.9119,33.3145,-86.6803,33.4813]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301017,218857,,all,01017,State Senate District 17,,,state senate district,2019,USA,US,,,USLEG101,,,,2,3242,"[-86.6773,33.8511]","[-87.0234,33.592,-86.0439,34.1094]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301018,1660649,,all,01018,State Senate District 18,,,state senate district,2019,USA,US,,,USLEG101,,,,2,335,"[-86.8952,33.4118]","[-87.0658,33.246,-86.6797,33.5774]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301019,874217,,all,01019,State Senate District 19,,,state senate district,2019,USA,US,,,USLEG101,,,,2,665,"[-86.9474,33.4731]","[-87.1798,33.2676,-86.8721,33.6783]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301020,415465,,all,01020,State Senate District 20,,,state senate district,2019,USA,US,,,USLEG101,,,,2,432,"[-86.7712,33.6054]","[-86.9563,33.4969,-86.6036,33.714]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301021,612073,,all,01021,State Senate District 21,,,state senate district,2019,USA,US,,,USLEG101,,,,2,5358,"[-88.1108,33.5299]","[-88.2911,33.0034,-87.0657,34.0583]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301022,1988329,,all,01022,State Senate District 22,,,state senate district,2019,USA,US,,,USLEG101,,,,2,14368,"[-87.6044,31.2029]","[-88.4644,30.4078,-86.6881,31.9914]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301023,1398505,,all,01023,State Senate District 23,,,state senate district,2019,USA,US,,,USLEG101,,,,2,19072,"[-87.1281,32.032]","[-87.8667,31.1811,-86.3964,32.8751]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301024,2250473,,all,01024,State Senate District 24,,,state senate district,2019,USA,US,,,USLEG101,,,,2,12667,"[-87.9579,32.5615]","[-88.4732,31.6979,-87.4201,33.4156]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301025,939753,,all,01025,State Senate District 25,,,state senate district,2019,USA,US,,,USLEG101,,,,2,4398,"[-86.2018,32.0713]","[-86.5039,31.4401,-85.8526,32.6995]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301026,481001,,all,01026,State Senate District 26,,,state senate district,2019,USA,US,,,USLEG101,,,,2,868,"[-86.3403,32.326]","[-86.4985,32.1502,-86.1118,32.5017]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301027,87785,,all,01027,State Senate District 27,,,state senate district,2019,USA,US,,,USLEG101,,,,2,3709,"[-85.5927,32.7184]","[-86.0092,32.3276,-85.0133,33.1073]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301028,1070825,,all,01028,State Senate District 28,,,state senate district,2019,USA,US,,,USLEG101,,,,2,10041,"[-85.4511,31.8989]","[-86.0232,31.1967,-84.8882,32.5959]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301029,1791721,,all,01029,State Senate District 29,,,state senate district,2019,USA,US,,,USLEG101,,,,2,3860,"[-85.6116,31.2328]","[-86.1935,30.9929,-84.9994,31.4722]"
leg3,legislative,3,mapbox.boundaries-leg3-v3,boundaries_legislative_3,mapbox.boundaries-legPoints-v3,points_legislative_3,USLEG301030,2184937,,all,01030,State Senate District 30,,,state senate district,2019,USA,US,,,USLEG101,,,,2,6347,"[-86.4568,32.708]","[-87.0192,32.3076,-85.8787,33.1047]"
