layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201001,203494633,Q156168,all,01001,Autauga,,"{""en"": [""Autauga County"", ""Autauga County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Montgomery, AL DMA""] }",,USA101,,,,2,1862,"[-86.6512,32.5077]","[-86.9212,32.3076,-86.4112,32.7082]"
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201003,203298025,Q156163,all,01003,Baldwin,,"{""en"": [""Baldwin County"", ""Baldwin County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Mobile, AL - Pensacola, FL - MS DMA""] }",,USA101,,,,2,4906,"[-87.735,30.7731]","[-88.0277,30.2241,-87.3888,31.319]"
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201005,203429097,Q109437,all,01005,Barbour,,"{""en"": [""Barbour County"", ""Barbour County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Columbus, GA - AL DMA""] }",,USA101,,,,2,2766,"[-85.3932,31.8833]","[-85.7484,31.6176,-85.0488,32.1483]"
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201007,133305577,Q461204,all,01007,Bibb,,"{""en"": [""Bibb County"", ""Bibb County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Birmingham, AL DMA""] }",,USA101,,,,2,1938,"[-87.0966,33.0396]","[-87.422,32.8315,-86.876,33.2469]"
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201009,30282985,Q111250,all,01009,Blount,,"{""en"": [""Blount County"", ""Blount County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Birmingham, AL DMA""] }",,USA101,,,,2,2036,"[-86.5333,34.0132]","[-86.9634,33.7652,-86.3035,34.2605]"
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201011,203166953,Q111259,all,01011,Bullock,,"{""en"": [""Bullock County"", ""Bullock County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Montgomery, AL DMA""] }",,USA101,,,,2,1917,"[-85.7132,32.0929]","[-85.9993,31.8803,-85.41,32.3053]"
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201013,203232489,Q108871,all,01013,Butler,,"{""en"": [""Butler County"", ""Butler County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Montgomery, AL DMA""] }",,USA101,,,,2,2376,"[-86.6759,31.7435]","[-86.9089,31.5237,-86.4383,31.9646]"
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201015,165811433,Q108856,all,01015,Calhoun,,"{""en"": [""Calhoun County"", ""Calhoun County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Birmingham, AL DMA""] }",,USA101,,,,2,1912,"[-85.8417,33.7625]","[-86.1462,33.5559,-85.5294,33.9685]"
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201017,54793449,Q111280,all,01017,Chambers,,"{""en"": [""Chambers County"", ""Chambers County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Columbus, GA - AL DMA""] }",,USA101,,,,2,1865,"[-85.3939,32.9189]","[-85.5937,32.7285,-85.1222,33.109]"
adm2,admin,2,mapbox.boundaries-adm2-v3,boundaries_admin_2,mapbox.boundaries-admPoints-v3,points_admin_2,USA201019,17044713,Q108832,all,01019,Cherokee,,"{""en"": [""Cherokee County"", ""Cherokee County, Alabama""]}",county,2019,USA,US,"{ ""DMA"" : [""Birmingham, AL DMA""] }",,USA101,,,,2,1881,"[-85.6478,34.235]","[-85.8439,33.9414,-85.3988,34.5263]"
