layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20101,9458921,,all,0101,Congressional District 1,,,congressional district,2019,USA,US,,,USLEG101,,,,1,18682,"[-87.5639,31.0316]","[-88.4644,30.1941,-86.6881,31.8318]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20102,9786601,,all,0102,Congressional District 2,,,congressional district,2019,USA,US,,,USLEG101,,,,1,31272,"[-86.0194,31.8858]","[-87.4275,30.9929,-84.9994,32.7692]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20103,9524457,,all,0103,Congressional District 3,,,congressional district,2019,USA,US,,,USLEG101,,,,1,23946,"[-85.859,33.2368]","[-86.5778,32.0617,-84.8882,34.3961]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20104,9655529,,all,0104,Congressional District 4,,,congressional district,2019,USA,US,,,USLEG101,,,,1,28607,"[-87.4682,34.0224]","[-88.2746,33.1287,-85.474,34.9067]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20105,9589993,,all,0105,Congressional District 5,,,congressional district,2019,USA,US,,,USLEG101,,,,1,12196,"[-86.4322,34.6574]","[-88.203,34.3047,-85.5831,35.008]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20106,9852137,,all,0106,Congressional District 6,,,congressional district,2019,USA,US,,,USLEG101,,,,1,13144,"[-86.6189,33.4188]","[-87.422,32.6601,-85.9997,34.171]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20107,9721065,,all,0107,Congressional District 7,,,congressional district,2019,USA,US,,,USLEG101,,,,1,31657,"[-87.6268,32.4374]","[-88.4732,31.1855,-86.2291,33.6719]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20200,18568425,,all,0200,Congressional District (at Large),,,congressional district,2019,USA,US,,,USLEG102,,,,1,3526261,"[-151.0659,64.3164]","[-187.5552,51.2154,-129.994,71.3885]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20401,23287017,,all,0401,Congressional District 1,,,congressional district,2019,USA,US,,,USLEG104,,,,1,175587,"[-110.474,34.6895]","[-114.0429,32.3087,-109.0452,37.0037]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20402,23614697,,all,0402,Congressional District 2,,,congressional district,2019,USA,US,,,USLEG104,,,,1,24153,"[-110.0545,31.9253]","[-111.0935,31.3323,-109.0479,32.5142]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20403,23352553,,all,0403,Congressional District 3,,,congressional district,2019,USA,US,,,USLEG104,,,,1,48212,"[-113.0023,32.4563]","[-114.8166,31.3322,-110.4522,33.5665]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20404,23483625,,all,0404,Congressional District 4,,,congressional district,2019,USA,US,,,USLEG104,,,,1,105119,"[-113.3229,34.8252]","[-114.7547,32.5908,-110.7411,37.0005]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20405,23418089,,all,0405,Congressional District 5,,,congressional district,2019,USA,US,,,USLEG104,,,,1,914,"[-111.7085,33.3591]","[-111.8936,33.2033,-111.5806,33.5135]"
leg2,legislative,2,mapbox.boundaries-leg2-v3,boundaries_legislative_2,mapbox.boundaries-legPoints-v3,points_legislative_2,USLEG20406,23745769,,all,0406,Congressional District 6,,,congressional district,2019,USA,US,,,USLEG104,,,,1,1963,"[-111.8889,33.6692]","[-112.1695,33.4368,-111.6192,33.9011]"
